measurement_type,timestamp_utc,config_hash,variant,run,is_warmup,total_latency_ms,throughput_req_s,total_gas,access_latency_ms,budget_latency_ms,tee_latency_ms,proof_latency_ms,settlement_latency_ms,audit_latency_ms,access_gas,budget_gas,proof_gas,settlement_gas,audit_gas,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,failure_status,success
measured,2026-07-19T10:49:14.369Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,2,0,6.2833000011742115,159.1520379121038,433332,5.27449999935925,0,0,0,0,1.0171000007539988,407772,0,0,0,25560,15,19.346251473741724,1257787392,1494323200,5,,1
measured,2026-07-19T10:49:15.899Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,2,0,414.26419999922814,2.413918460735596,1103505,6.1534000020474195,0,183.153,223.8695000000298,0,1.1042999997735023,407772,0,670173,0,25560,95,41.076196352515396,1257787392,1516900352,11,,1
measured,2026-07-19T10:49:17.460Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,2,0,199.98549999922514,5.0003625263025295,685590,6.716799998655915,4.019099999219179,187.905,0,0,1.3636000007390976,407772,252258,0,0,25560,125,38.73915304114311,1257787392,1442033664,8,,1
model_calibrated_from_measured_components,2026-07-19T10:49:18.939Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,2,0,253.45190000265836,3.945521812973236,1370242,4.369400002062321,2.5609000008553267,0.005,240.84089999832213,5.693299999460578,0,376855,221765,283371,488251,0,187,57.74360350142859,1257787392,1442525184,11,,1
measured,2026-07-19T10:49:20.425Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,2,0,400.05030000391605,2.4996856645032164,1370266,4.782000001519918,2.5777000002563,153.148,232.83330000005662,6.727700000628829,0,376855,221765,283383,488263,0,94,25.53037290920926,1257787392,1494208512,12,,1
measured,2026-07-19T10:49:20.815Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,3,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1494208512,1,,1
measured,2026-07-19T10:49:21.240Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,3,0,5.664099998772144,176.55055528976865,433332,4.688500000163913,0,0,0,0,0.9830999989062548,407772,0,0,0,25560,31,19.98720818466507,1257787392,1495420928,5,,1
measured,2026-07-19T10:49:22.703Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,3,0,363.16469999815524,2.753571588882619,1103433,7.093300001695752,0,117.793,236.92339999973774,0,1.3730999995023012,407772,0,670101,0,25560,94,26.105526959028495,1257787392,1528619008,12,,1
measured,2026-07-19T10:49:24.133Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,3,0,134.29860000027716,7.446094002453758,685518,6.725099999457598,4.4958000015467405,122.131,0,0,0.963400000706315,407736,252234,0,0,25548,281,60.10430407276751,1257787392,1505472512,8,,1
model_calibrated_from_measured_components,2026-07-19T10:49:25.611Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,3,0,266.22990000368657,3.7561521075812774,1370290,4.2663000002503395,2.2939000017941,0.004,253.7192000001669,5.965199999511242,0,376855,221765,283383,488287,0,125,32.63334801213525,1257787392,1443356672,11,,1
