measurement_type,timestamp_utc,config_hash,index,request_id,prove_time_ms,verify_time_ms,proof_bundle_bytes,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,failure_status,verified
measured,2026-07-19T10:42:36.108Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,22,phase8-concurrency-22-1784457717319721200,197.55880000069737,12.734499998390675,1404,1578,100,1228980224,3633967104,26,,1
measured,2026-07-19T10:42:36.746Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,23,phase8-concurrency-23-1784457717458541100,241.2179000005126,11.83640000037849,1400,1515,100,1228980224,3633967104,28,,1
measured,2026-07-19T10:42:37.335Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,24,phase8-concurrency-24-1784457717594547800,199.71250000037253,11.525800000876188,1408,1344,100,1228980224,3633655808,27,,1
measured,2026-07-19T10:42:37.956Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,25,phase8-concurrency-25-1784457717726951700,225.69380000047386,14.141400000080466,1405,1359,100,1228980224,3633659904,27,,1
measured,2026-07-19T10:42:38.570Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,26,phase8-concurrency-26-1784457717866049000,214.9879999998957,11.143800001591444,1402,1343,100,1228980224,3617996800,29,,1
measured,2026-07-19T10:42:39.189Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,27,phase8-concurrency-27-1784457718004373400,226.2749000005424,11.417599998414516,1404,1688,100,1228980224,3617996800,26,,1
measured,2026-07-19T10:42:39.789Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,28,phase8-concurrency-28-1784457718127169200,200.78639999963343,13.767799999564886,1403,1719,100,1228980224,3645263872,26,,1
measured,2026-07-19T10:42:40.417Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,29,phase8-concurrency-29-1784457718261219900,243.89619999937713,12.088700000196695,1398,1702,100,1228980224,3645263872,29,,1
measured,2026-07-19T10:42:41.027Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,30,phase8-concurrency-30-1784457718393799400,218.1680999994278,11.612300001084805,1404,1157,100,1228980224,3608268800,28,,1
measured,2026-07-19T10:42:41.647Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,31,phase8-concurrency-31-1784457718524137000,227.98069999925792,14.444099999964237,1406,1437,100,1228980224,3608268800,25,,1
