scheme,curve,circuit,n_rules,constraints,public_inputs,proof_size_bytes,prove_time_ms_mean,prove_time_ms_std,prove_time_ms_p95,verify_time_ms_mean,verify_time_ms_p95,proving_key_bytes,verification_key_bytes,r1cs_bytes,peak_rss_mb,reps,warmups,reject_invalid_policy,reject_invalid_budget,reject_invalid_nullifier
groth16,bn128,compliance_1,1,2928,11,890,121.69543333333336,8.943878716225726,133.84069499999998,10.722574999999999,16.54480999999999,1323029,4760,417960,723.11328125,12,2,true,true,true
groth16,bn128,compliance_2,2,3445,11,888,129.02020833333333,18.037113665230105,155.30560499999996,12.233983333333333,17.010585,1510173,4752,486952,628.93359375,12,2,true,true,true
groth16,bn128,compliance_4,4,4479,11,890,173.59335833333338,5.071610735334873,180.759395,12.822366666666667,15.490075,2146605,4750,624936,646.921875,12,2,true,true,true
groth16,bn128,compliance_6,6,5513,11,891,199.94212499999995,14.024970904552411,224.27005999999997,13.539674999999997,17.25075,2520893,4762,762920,687.1328125,12,2,true,true,true
groth16,bn128,compliance_8,8,6547,11,887,206.97843333333336,5.430397217873558,214.589645,13.048175,15.763794999999998,2895181,4756,900904,676.6640625,12,2,true,true,true
groth16,bn128,compliance_10,10,7581,11,890,223.53779166666672,6.239862874890005,234.296705,12.128133333333336,15.482935,3269469,4761,1038888,693.6953125,12,2,true,true,true
