operation,category,metric,unit,count,min,p25,median,mean,std,p75,p95,p99,max
valid_request_access,setup,calldata_nonzero_bytes,bytes,30,168.0,169.0,169.0,168.86666666666667,0.3457459036417604,169.0,169.0,169.0,169.0
valid_reserve_budget,setup,submit_ack_ms,ms,30,796.857,953.8495,1007.752,1016.159,137.74085879525788,1146.15925,1222.3547999999998,1263.42783,1274.904
valid_reserve_budget,setup,inclusion_latency_ms,ms,30,1788.363,3459.7945000000004,3746.508,3599.8697333333334,670.7854383905653,3998.2535000000003,4183.0681,4517.86678,4653.244
valid_reserve_budget,setup,confirmation_5_latency_ms,ms,30,9598.618,11165.751250000001,11347.639,11248.430533333334,565.611436763714,11536.727,11938.663250000001,11969.934650000001,11978.378
valid_reserve_budget,setup,confirmation_12_latency_ms,ms,30,23614.369,25344.283499999998,25501.805,25407.3603,616.3137399609319,25728.37275,25962.51915,26103.883149999998,26147.141
valid_reserve_budget,setup,post_inclusion_confirmation_5_ms,ms,30,6974.007,7433.80975,7632.038500000001,7648.560933333333,298.3062921102187,7823.04875,8113.8885,8208.11765,8245.648
valid_reserve_budget,setup,post_inclusion_confirmation_12_ms,ms,30,21258.576,21703.127,21830.6575,21807.490633333335,238.055802460406,21983.931,22110.90315,22186.548600000002,22209.882
valid_reserve_budget,setup,gas_used,gas,30,149183.0,149195.0,149195.0,149193.4,4.148950843701125,149195.0,149195.0,149195.0,149195.0
valid_reserve_budget,setup,total_fee_wei,wei,30,900460361223.0,900883210170.5,900953264192.5,900959053872.4667,203148837.3313864,901039729486.0,901339708918.25,901399532967.21,901412305597.0
valid_reserve_budget,setup,calldata_bytes,bytes,30,36.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,36.0
valid_reserve_budget,setup,calldata_zero_bytes,bytes,30,0.0,0.0,0.0,0.13333333333333333,0.3457459036417604,0.0,1.0,1.0,1.0
valid_reserve_budget,setup,calldata_nonzero_bytes,bytes,30,35.0,36.0,36.0,35.86666666666667,0.3457459036417604,36.0,36.0,36.0,36.0
