scheme,curve,circuit,n_rules,constraints,witness_size_bytes,public_inputs,proof_size_bytes,prove_time_ms_mean,prove_time_ms_std,prove_time_ms_p95,verify_time_ms_mean,verify_time_ms_p95,proving_key_bytes,verification_key_bytes,r1cs_bytes,peak_rss_mb,peak_private_mb,reps,warmups,reject_invalid_policy,reject_invalid_budget,reject_invalid_nullifier
groth16,bn128,compliance_1,1,2928,94092,11,890,120.90379000000001,12.340703080331362,146.32829499999997,11.27398,12.93667,1323029,4760,417960,750.64453125,2148.96484375,30,2,true,true,true
groth16,bn128,compliance_2,2,3445,110668,11,890,170.32923000000002,18.820283760544985,207.36499999999998,15.398323333333337,20.53143499999999,1510173,4753,486952,750.64453125,2733.06640625,30,2,true,true,true
groth16,bn128,compliance_4,4,4479,143820,11,890,244.49971999999997,17.60299758261643,274.250965,18.157770000000006,22.04802,2146605,4750,624936,750.64453125,2732.3671875,30,2,true,true,true
groth16,bn128,compliance_6,6,5513,176972,11,884,259.70997,25.85817603075347,294.137865,17.265179999999994,22.100875,2520893,4763,762920,750.64453125,2827.71875,30,2,true,true,true
groth16,bn128,compliance_8,8,6547,210124,11,889,224.48343666666662,13.43428768195975,246.05929999999995,13.282096666666668,16.505079999999996,2895181,4760,900904,750.64453125,2819.70703125,30,2,true,true,true
groth16,bn128,compliance_10,10,7581,243276,11,891,299.0209566666667,45.044265273385484,384.19282999999984,16.362276666666666,23.55867499999999,3269469,4761,1038888,750.64453125,2844.2421875,30,2,true,true,true
