measurement_type,concurrency,run,capacity,accepted,reverted,settlement_batch_latency_ms,settlement_mean_latency_ms,throughput_req_s,total_gas,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations
measured_local_hardhat,1,0,1,1,0,4.084899999201298,4.084899999201298,244.80403441835188,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,1,1,1,0,3.2929999995976686,3.2929999995976686,303.674461014934,179640,1000000,1000000,0,0,0
measured_local_hardhat,1,2,1,1,0,3.4716999996453524,3.4716999996453524,288.04332174501076,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,3,1,1,0,5.660999999381602,5.660999999381602,176.64723549006152,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,4,1,1,0,2.8301999997347593,2.8301999997347593,353.3319200387669,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,5,1,1,0,3.246500000357628,3.246500000357628,308.0240258400869,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,6,1,1,0,3.113599999807775,3.113599999807775,321.17163414110263,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,7,1,1,0,2.875900000333786,2.875900000333786,347.71723630304837,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,8,1,1,0,2.795300000347197,2.795300000347197,357.743354872748,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,9,1,1,0,2.8326000003144145,2.8326000003144145,353.0325495618871,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,10,1,1,0,4.087899999693036,4.087899999693036,244.62437928400666,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,11,1,1,0,2.9339999994263053,2.9339999994263053,340.83162924183137,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,12,1,1,0,3.143099999986589,3.143099999986589,318.1572333060567,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,13,1,1,0,2.663399999961257,2.663399999961257,375.4599384300317,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,14,1,1,0,3.435300000011921,3.435300000011921,291.0953919589351,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,15,1,1,0,2.620800000615418,2.620800000615418,381.56288147328274,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,16,1,1,0,2.6853999998420477,2.6853999998420477,372.38400240516086,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,17,1,1,0,2.8571999995037913,2.8571999995037913,349.99300020078033,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,18,1,1,0,3.4690000005066395,3.4690000005066395,288.2675122092685,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,19,1,1,0,3.1496000001206994,3.1496000001206994,317.5006349891027,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,20,1,1,0,2.8246999997645617,2.8246999997645617,354.0198959476581,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,21,1,1,0,2.7599999997764826,2.7599999997764826,362.31884060905236,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,22,1,1,0,7.184499999508262,7.184499999508262,139.1885308745834,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,23,1,1,0,4.168200000189245,4.168200000189245,239.91171247891128,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,24,1,1,0,8.313699999824166,8.313699999824166,120.28338766387407,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,25,1,1,0,3.0624000001698732,3.0624000001698732,326.5412747990234,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,26,1,1,0,2.7200999995693564,2.7200999995693564,367.63354294265616,179688,1000000,1000000,0,0,0
measured_local_hardhat,1,27,1,1,0,3.0283000003546476,3.0283000003546476,330.2182742406264,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,28,1,1,0,3.5436000004410744,3.5436000004410744,282.1988937452109,179664,1000000,1000000,0,0,0
measured_local_hardhat,1,29,1,1,0,3.115799999795854,3.115799999795854,320.9448616937928,179664,1000000,1000000,0,0,0
measured_local_hardhat,2,0,1,1,1,4.172500000335276,4.172500000335276,239.66446972310274,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,1,1,1,1,3.4173999996855855,3.4173999996855855,292.6201205864119,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,2,1,1,1,4.371100000105798,4.371100000105798,228.77536546310904,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,3,1,1,1,3.4267000006511807,3.4267000006511807,291.8259549449816,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,4,1,1,1,3.476299999281764,3.476299999281764,287.66216960751643,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,5,1,1,1,3.4569999994710088,3.4569999994710088,289.2681516207753,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,6,1,1,1,3.1570999994874,3.1570999994874,316.74638122402337,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,7,1,1,1,3.410800000652671,3.410800000652671,293.18634918747676,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,8,1,1,1,3.387799999676645,3.387799999676645,295.17681093790867,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,9,1,1,1,3.1664000004529953,3.1664000004529953,315.8160686763949,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,10,1,1,1,3.7333000004291534,3.7333000004291534,267.8595344293379,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,11,1,1,1,3.350699999369681,3.350699999369681,298.44510107980886,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,12,1,1,1,3.1293000001460314,3.1293000001460314,319.5602850328617,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,13,1,1,1,4.213899999856949,4.213899999856949,237.30985548635408,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,14,1,1,1,3.585900000296533,3.585900000296533,278.87001866123035,179664,1000000,1000000,0,0,0
measured_local_hardhat,2,15,1,1,1,3.5883999997749925,3.5883999997749925,278.6757329346517,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,16,1,1,1,4.436300000175834,4.436300000175834,225.4130694408324,179664,1000000,1000000,0,0,0
measured_local_hardhat,2,17,1,1,1,3.6111000003293157,3.6111000003293157,276.92392897145044,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,18,1,1,1,4.913800000213087,4.913800000213087,203.50848629505373,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,19,1,1,1,3.413399999961257,3.413399999961257,292.9630280691833,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,20,1,1,1,4.388100000098348,4.388100000098348,227.88906359873013,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,21,1,1,1,3.7564000003039837,3.7564000003039837,266.21233093362684,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,22,1,1,1,3.3898000000044703,3.3898000000044703,295.0026550235062,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,23,1,1,1,4.4335000002756715,4.4335000002756715,225.55543023295834,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,24,1,1,1,3.392199999652803,3.392199999652803,294.79393906678604,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,25,1,1,1,3.6655000001192093,3.6655000001192093,272.8140771975114,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,26,1,1,1,3.2442999994382262,3.2442999994382262,308.232900833202,179688,1000000,1000000,0,0,0
