concurrency,runs,mean_accepted,mean_reverted,mean_settlement_latency_ms,p2_5_settlement_latency_ms,p50_settlement_latency_ms,p95_settlement_latency_ms,p97_5_settlement_latency_ms,median_settlement_latency_ms,bootstrap_ci95_low_settlement_latency_ms,bootstrap_ci95_high_settlement_latency_ms,mean_throughput_req_s,budget_invariant_violations,p95_normalized_peak_cpu_percent,p95_peak_working_set_bytes,p95_peak_private_bytes,measurement_type
1,30,1.0,0.0,2.8805200001224875,2.4291024999693036,2.769000000320375,3.4472850005142393,3.6500750015489745,2.769000000320375,2.74487941678303,3.025969000166903,352.7731297000031,0,1.0527993285784287,1257787392.0,1511763968.0,measured_local_hardhat
2,30,1.0,1.0,3.7017233332619073,3.105582501087338,3.724549999460578,4.319254999607802,4.517262499034405,3.724549999460578,3.5691207500516127,3.8366581664296486,272.65956778215127,0,0.8043109063114187,1257787392.0,1513411379.2,measured_local_hardhat
4,30,2.0,2.0,2.96904166660582,2.5998774997889997,2.851399999577552,3.7695224994327874,3.797591249551624,2.851399999577552,2.8558354999419926,3.1038571666018107,340.7778085123455,0,30.93152346821396,1257787392.0,1498093158.4,measured_local_hardhat
8,30,4.0,4.0,2.7056166666715096,2.4278037498705087,2.646487500052899,3.1489999998593703,3.19731624990236,2.646487500052899,2.6263541666759798,2.795348520809396,372.14048177333456,0,37.578758919157906,1257787392.0,1462011289.6,measured_local_hardhat
16,30,8.0,8.0,2.6895804166871433,2.4819312500185333,2.6545125000411645,2.973180624982342,3.1138103124918413,2.6545125000411645,2.632917395834811,2.7593889375312335,373.35743952076206,0,68.83896303267181,1257787392.0,1518106009.6,measured_local_hardhat
32,30,16.0,16.0,2.6397129166638478,2.4450776562734973,2.6136249999981374,2.875661874987418,2.920332656262326,2.6136249999981374,2.597466062501965,2.6856773541489387,379.646276018109,0,59.300430349371766,1257787392.0,1608333721.6,measured_local_hardhat
