payload_bytes,run,stage,latency_us,total_validated_vbs_us,percent_of_total_vbs_latency,measurement_type
1024,27,Evidence generation,2017.0,121196.0,1.6642463447638536,measured_paired
1024,27,External validation,74196.0,121196.0,61.21984223901779,measured_paired
1024,28,Transcript,11.0,105120.0,0.010464231354642313,measured_paired
1024,28,Evidence generation,2031.0,105120.0,1.9320776255707763,measured_paired
1024,28,External validation,74120.0,105120.0,70.50989345509893,measured_paired
1024,29,Transcript,11.0,161816.0,0.006797844465318633,measured_paired
1024,29,Evidence generation,2134.0,161816.0,1.318781826271815,measured_paired
1024,29,External validation,83816.0,161816.0,51.797102882286055,measured_paired
1024,30,Transcript,11.0,109869.0,0.010011923290464098,measured_paired
1024,30,Evidence generation,2191.0,109869.0,1.9941930844915308,measured_paired
1024,30,External validation,78869.0,109869.0,71.784579817783,measured_paired
4096,1,Transcript,13.0,141332.0,0.009198199983018707,measured_paired
4096,1,Evidence generation,1928.0,141332.0,1.364163812866159,measured_paired
4096,1,External validation,78332.0,141332.0,55.424107774601644,measured_paired
4096,2,Transcript,11.0,107697.0,0.01021384068265597,measured_paired
4096,2,Evidence generation,2154.0,107697.0,2.000055711858269,measured_paired
4096,2,External validation,60697.0,107697.0,56.35904435592449,measured_paired
4096,3,Transcript,12.0,161736.0,0.0074194984419053275,measured_paired
4096,3,Evidence generation,2104.0,161736.0,1.300885393480734,measured_paired
4096,3,External validation,98736.0,161736.0,61.047633179997035,measured_paired
4096,4,Transcript,12.0,121440.0,0.009881422924901186,measured_paired
4096,4,Evidence generation,2560.0,121440.0,2.1080368906455864,measured_paired
4096,4,External validation,74440.0,121440.0,61.29776021080369,measured_paired
4096,5,Transcript,15.0,162189.0,0.009248469378317888,measured_paired
4096,5,Evidence generation,3023.0,162189.0,1.8638748620436651,measured_paired
4096,5,External validation,68189.0,162189.0,42.0429252292079,measured_paired
4096,6,Transcript,13.0,118210.0,0.010997377548430758,measured_paired
4096,6,Evidence generation,2209.0,118210.0,1.868708231114119,measured_paired
4096,6,External validation,71210.0,118210.0,60.240250401827254,measured_paired
4096,7,Transcript,13.0,141518.0,0.009186110600771633,measured_paired
4096,7,Evidence generation,2283.0,141518.0,1.6132223462739723,measured_paired
4096,7,External validation,79518.0,141518.0,56.18931867324298,measured_paired
4096,8,Transcript,11.0,128965.0,0.008529445973713799,measured_paired
4096,8,Evidence generation,2052.0,128965.0,1.5911293761873377,measured_paired
4096,8,External validation,81965.0,128965.0,63.556003566859225,measured_paired
4096,9,Transcript,14.0,145691.0,0.009609378753663576,measured_paired
4096,9,Evidence generation,2129.0,145691.0,1.4613119547535538,measured_paired
4096,9,External validation,82691.0,145691.0,56.75779560851391,measured_paired
4096,10,Transcript,11.0,116344.0,0.00945472048408169,measured_paired
4096,10,Evidence generation,2158.0,116344.0,1.854844254968026,measured_paired
4096,10,External validation,70344.0,116344.0,60.462077975658396,measured_paired
4096,11,Transcript,14.0,133570.0,0.01048139552294677,measured_paired
4096,11,Evidence generation,1908.0,133570.0,1.4284644755558884,measured_paired
4096,11,External validation,55570.0,133570.0,41.603653515010855,measured_paired
4096,12,Transcript,11.0,125768.0,0.008746262960371478,measured_paired
4096,12,Evidence generation,1916.0,125768.0,1.5234399847337956,measured_paired
4096,12,External validation,62768.0,125768.0,49.90776668150881,measured_paired
4096,13,Transcript,12.0,136460.0,0.008793785724754507,measured_paired
4096,13,Evidence generation,1926.0,136460.0,1.4114026088230984,measured_paired
4096,13,External validation,73460.0,136460.0,53.83262494503884,measured_paired
4096,14,Transcript,11.0,129161.0,0.008516502659471513,measured_paired
4096,14,Evidence generation,1924.0,129161.0,1.4896137378930172,measured_paired
4096,14,External validation,67161.0,129161.0,51.99789410116057,measured_paired
4096,15,Transcript,10.0,133154.0,0.007510101085960617,measured_paired
4096,15,Evidence generation,1895.0,133154.0,1.423164155789537,measured_paired
4096,15,External validation,71154.0,133154.0,53.43737326704417,measured_paired
4096,16,Transcript,12.0,120587.0,0.009951321452561222,measured_paired
4096,16,Evidence generation,1940.0,120587.0,1.6087969681640641,measured_paired
4096,16,External validation,73587.0,120587.0,61.02399097746855,measured_paired
4096,17,Transcript,11.0,127964.0,0.008596167672157795,measured_paired
4096,17,Evidence generation,1957.0,127964.0,1.5293363758557095,measured_paired
4096,17,External validation,64964.0,127964.0,50.76740333218718,measured_paired
4096,18,Transcript,11.0,110634.0,0.009942693927725654,measured_paired
4096,18,Evidence generation,1955.0,110634.0,1.7670878753366959,measured_paired
4096,18,External validation,64634.0,110634.0,58.42146175678363,measured_paired
4096,19,Transcript,11.0,124835.0,0.00881163135338647,measured_paired
4096,19,Evidence generation,1898.0,124835.0,1.5204069371570472,measured_paired
4096,19,External validation,62835.0,124835.0,50.3344414627308,measured_paired
4096,20,Transcript,13.0,126115.0,0.010308052174602546,measured_paired
4096,20,Evidence generation,1875.0,126115.0,1.4867382944138285,measured_paired
4096,20,External validation,79115.0,126115.0,62.73242675336003,measured_paired
4096,21,Transcript,12.0,142371.0,0.008428682807594243,measured_paired
4096,21,Evidence generation,2129.0,142371.0,1.495388808114012,measured_paired
