configuration,runs,mean_latency_ms,median_latency_ms,std_latency_ms,p95_latency_ms,latency_bootstrap_ci95_low_ms,latency_bootstrap_ci95_high_ms,mean_throughput_req_s,median_throughput_req_s,p95_throughput_req_s,throughput_bootstrap_ci95_low_req_s,throughput_bootstrap_ci95_high_req_s,mean_total_gas,security_coverage_score,security_coverage_total,success_rate,measurement_type
Access Ledger,30,9.52947333343327,9.035050000064075,1.606227949776331,12.348804999236018,8.954184833456141,10.088385500321165,107.69812750544456,110.68178725209245,130.36427735747029,101.28793355386577,113.55599293734241,433318.8,1,8,1.0,locally_measured
TEE-only,30,700.8477666669836,679.1264499993995,61.70015785329865,793.7850949998013,680.4374316670388,722.8737315835818,1.4370540044859428,1.4724819822267148,1.5687977270460927,1.3946610600877882,1.476832131145408,0.0,3,8,1.0,locally_measured
ZK Release,30,658.5929900001114,602.2054000003263,98.10303857442418,835.8017200001516,625.7760511669004,695.4601259999024,1.5478693832114903,1.6605672343766082,1.7495908130592672,1.4763583157802027,1.6173015670967295,670135.8,2,8,1.0,locally_measured
Local DP Ledger,30,174.43571666659167,173.51410000026226,8.160246052893669,189.42033000085502,171.74128141653725,177.46642658349904,5.744533183592666,5.76333140067463,6.052813578262445,5.650754019329254,5.834983645342875,0.0,2,8,1.0,locally_measured
TrustCircuit,30,981.0873566665997,929.4628499988467,104.69539218786876,1170.3713899993338,946.8388735830753,1019.4355812498244,1.0298900707169774,1.0761130928867415,1.1430509400528759,0.9944229036017722,1.0645705469205318,1370239.6,8,8,1.0,locally_measured
