stage,measurement_type,mean_latency_ms,p95_latency_ms
access,measured,4.847059999592602,5.102399999648332
budget,measured,3.0835599998012184,3.387919999472797
tee,measured,152.6182,156.0602
proof,measured,196.03714000005274,204.21341999955476
settlement,measured,5.805440000072122,6.007859999872744
audit,measured,0.0,0.0
