variant,measurement_type,runs,mean_latency_ms,std_latency_ms,p50_latency_ms,p95_latency_ms,mean_throughput_req_s,std_throughput_req_s,p50_throughput_req_s,p95_throughput_req_s,mean_total_gas,success_rate
baseline_minimal,measured,5,0.002,0.0,0.002,0.002,500000.0,0.0,500000.0,500000.0,0.0,1.0
access_only,measured,5,6.4370200000703335,0.660108696415115,6.550099999643862,7.125399999693036,156.68529021234343,16.278257864117915,152.66942490257728,174.3833739736403,433332.0,1.0
no_budget,measured,5,370.61710000116227,12.982701077533152,371.4859000015482,386.65248000003993,2.700822062364614,0.09351150985341035,2.6918922090874307,2.798325085079883,1103464.2,1.0
no_zk,measured,5,177.42353999971002,20.250571774996114,175.76840000035614,202.17131999917626,5.694112640335948,0.6360109081425734,5.6893047897003886,6.386979349041852,685561.2,1.0
no_tee,model_calibrated_from_measured_components,5,211.3721800010234,14.254783005438021,203.5218000010997,228.00220000106393,4.747931020953101,0.3140992276195025,4.913478556078988,5.046456115614306,1370242.0,1.0
full_trustcircuit,measured,5,362.3707800004602,7.503943089628691,359.92099999994787,371.38155999972076,2.760547502936785,0.05693492993069587,2.778387479475065,2.8209693184500217,1370215.6,1.0
