measurement_type,timestamp_utc,config_hash,configuration,run,is_warmup,rows,function_id,epsilon_requested,delta_requested,total_latency_ms,throughput_req_s,total_gas,proof_overhead_ms,attestation_overhead_ms,budget_overhead_ms,other_lifecycle_ms,process_startup_ms,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,security_coverage_score,security_coverage_total,success,failure_status
locally_measured,2026-07-19T11:13:30.061Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,3,0,1000,2,0.5,0.00001,10.953399999067187,91.29585335011612,433320,0,0,0,10.953399999067187,0,31,0.8677157779622847,1367285760,3181592576,1,8,1,
locally_measured,2026-07-19T11:13:31.361Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,3,0,1000,2,0.5,0.00001,800.4166999999434,1.2493492452119885,670137,349.8049999959767,0,0,450.6117000039667,0,2391,100,1367285760,3182788608,2,8,1,
locally_measured,2026-07-19T11:13:32.005Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,3,0,1000,2,0.5,0.00001,181.03769999928772,5.523711359589381,0,0,0,0.002,181.03569999928771,12.351000000000003,30.625,0.23076678819145124,1367285760,1036660736,2,8,1,
locally_measured,2026-07-19T11:13:33.655Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,3,0,1000,2,0.5,0.00001,1134.816000001505,0.8812001240718088,1370218,295.1655000001192,91.887,3.386200001463294,744.3772999999226,74.075,2156.5,100,1367285760,3249598464,8,8,1,
locally_measured,2026-07-19T11:13:34.906Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,4,0,1000,2,0.5,0.00001,788.9254999998957,1.2675468089193875,0,0,85.1,0,703.8254999998957,64.474,624.875,23.250334798016123,1367285760,3333304320,3,8,1,
locally_measured,2026-07-19T11:13:35.458Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,4,0,1000,2,0.5,0.00001,12.53289999999106,79.78999273916759,433332,0,0,0,12.53289999999106,0,32,0.7869628585017332,1367285760,3327320064,1,8,1,
locally_measured,2026-07-19T11:13:36.867Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,4,0,1000,2,0.5,0.00001,906.3910999987274,1.1032764995170452,670161,381.2615000009537,0,0,525.1295999977738,0,2437,100,1367285760,3331022848,2,8,1,
locally_measured,2026-07-19T11:13:37.527Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,4,0,1000,2,0.5,0.00001,191.00730000063777,5.235401997707213,0,0,0,0.001,191.00630000063776,13.616,46.625,0.46500487325110823,1367285760,996675584,2,8,1,
locally_measured,2026-07-19T11:13:39.217Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,4,0,1000,2,0.5,0.00001,1154.9462000001222,0.8658411967586839,1370254,318.0801999978721,88.077,4.621200000867248,744.1678000013828,62.67700000000001,2218.875,100,1367285760,3175182336,8,8,1,
locally_measured,2026-07-19T11:13:40.470Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,5,0,1000,2,0.5,0.00001,787.5449999999255,1.2697687116292968,0,0,84.073,0,703.4719999999255,66.57199999999999,625.875,3.603555966618034,1367285760,3257995264,3,8,1,
locally_measured,2026-07-19T11:13:40.986Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,5,0,1000,2,0.5,0.00001,10.438500000163913,95.7992048650953,433236,0,0,0,10.438500000163913,0,63,20.27492802527961,1367285760,3252609024,1,8,1,
locally_measured,2026-07-19T11:13:42.279Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,5,0,1000,2,0.5,0.00001,781.1787999998778,1.2801166647125555,670077,310.10899999924004,0,0,471.06980000063777,0,2405,100,1367285760,3254657024,2,8,1,
locally_measured,2026-07-19T11:13:42.917Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,5,0,1000,2,0.5,0.00001,176.107899999246,5.678336974118035,0,0,0,0.001,176.106899999246,11.887,0,0,1367285760,1092214784,2,8,1,
locally_measured,2026-07-19T11:13:44.727Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,5,0,1000,2,0.5,0.00001,1209.495699999854,0.8267908682933893,1370242,291.20860000140965,87.698,4.614999998360872,825.9741000000835,71.61,2579.5,100,1367285760,3240824832,8,8,1,
locally_measured,2026-07-19T11:13:45.927Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,6,0,1000,2,0.5,0.00001,682.884299999103,1.4643769083596059,0,0,101.79,0,581.094299999103,59.079,531.5,3.0981959805945745,1367285760,3315470336,3,8,1,
locally_measured,2026-07-19T11:13:46.529Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,6,0,1000,2,0.5,0.00001,11.584699999541044,86.32075064866741,433308,0,0,0,11.584699999541044,0,0,0,1367285760,3310809088,1,8,1,
locally_measured,2026-07-19T11:13:47.656Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,6,0,1000,2,0.5,0.00001,601.2426999993622,1.663221856998947,670173,271.6849000006914,0,0,329.5577999986708,0,1796,100,1367285760,3313983488,2,8,1,
locally_measured,2026-07-19T11:13:48.330Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,6,0,1000,2,0.5,0.00001,180.21000000089407,5.549081626963202,0,0,0,0.001,180.20900000089406,15.55,30.625,0.2237670969993456,1367285760,1050214400,2,8,1,
