measurement_type,epsilon_requested,privacy_cost_fixed,request_index,accepted,reverted,reason,latency_ms,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations,cumulative_accepted_requests
measured_local_hardhat,0.1,196379,12,1,0,,2.9989999998360872,5000000,2356548,0,2643452,0,12
measured_local_hardhat,0.1,196379,13,1,0,,3.1972000002861023,5000000,2552927,0,2447073,0,13
measured_local_hardhat,0.1,196379,14,1,0,,3.8237000005319715,5000000,2749306,0,2250694,0,14
measured_local_hardhat,0.1,196379,15,1,0,,3.804599999450147,5000000,2945685,0,2054315,0,15
measured_local_hardhat,0.1,196379,16,1,0,,3.9180999994277954,5000000,3142064,0,1857936,0,16
measured_local_hardhat,0.1,196379,17,1,0,,4.414300000295043,5000000,3338443,0,1661557,0,17
measured_local_hardhat,0.1,196379,18,1,0,,4.143400000408292,5000000,3534822,0,1465178,0,18
measured_local_hardhat,0.1,196379,19,1,0,,4.135900000110269,5000000,3731201,0,1268799,0,19
measured_local_hardhat,0.1,196379,20,1,0,,3.7377000004053116,5000000,3927580,0,1072420,0,20
measured_local_hardhat,0.1,196379,21,1,0,,4.065999999642372,5000000,4123959,0,876041,0,21
measured_local_hardhat,0.1,196379,22,1,0,,3.2654999997466803,5000000,4320338,0,679662,0,22
measured_local_hardhat,0.1,196379,23,1,0,,2.8364999992772937,5000000,4516717,0,483283,0,23
measured_local_hardhat,0.1,196379,24,1,0,,4.378499999642372,5000000,4713096,0,286904,0,24
measured_local_hardhat,0.1,196379,25,1,0,,3.070700000040233,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.1,196379,26,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa534957a2558e5355c7ebd7e5f06621351261056d060cf868cb30b35855c7177"", 196379, 90525)'",2.2577999997884035,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.1,196379,27,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa534957a2558e5355c7ebd7e5f06621351261056d060cf868cb30b35855c7177"", 196379, 90525)'",1.5054999999701977,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.1,196379,28,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa534957a2558e5355c7ebd7e5f06621351261056d060cf868cb30b35855c7177"", 196379, 90525)'",1.5604999996721745,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.1,196379,29,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa534957a2558e5355c7ebd7e5f06621351261056d060cf868cb30b35855c7177"", 196379, 90525)'",1.5071000000461936,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.1,196379,30,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa534957a2558e5355c7ebd7e5f06621351261056d060cf868cb30b35855c7177"", 196379, 90525)'",2.0038999998942018,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.1,196379,31,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa534957a2558e5355c7ebd7e5f06621351261056d060cf868cb30b35855c7177"", 196379, 90525)'",2.034399999305606,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.1,196379,32,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa534957a2558e5355c7ebd7e5f06621351261056d060cf868cb30b35855c7177"", 196379, 90525)'",1.6054999995976686,5000000,4909475,0,90525,0,25
measured_local_hardhat,0.2,237278,1,1,0,,2.9170000003650784,5000000,237278,0,4762722,0,1
measured_local_hardhat,0.2,237278,2,1,0,,3.1881000008434057,5000000,474556,0,4525444,0,2
measured_local_hardhat,0.2,237278,3,1,0,,3.8685999996960163,5000000,711834,0,4288166,0,3
measured_local_hardhat,0.2,237278,4,1,0,,4.390800000168383,5000000,949112,0,4050888,0,4
measured_local_hardhat,0.2,237278,5,1,0,,3.0982999997213483,5000000,1186390,0,3813610,0,5
measured_local_hardhat,0.2,237278,6,1,0,,3.489199999719858,5000000,1423668,0,3576332,0,6
measured_local_hardhat,0.2,237278,7,1,0,,4.100399999879301,5000000,1660946,0,3339054,0,7
measured_local_hardhat,0.2,237278,8,1,0,,3.314100000075996,5000000,1898224,0,3101776,0,8
measured_local_hardhat,0.2,237278,9,1,0,,3.520399999804795,5000000,2135502,0,2864498,0,9
measured_local_hardhat,0.2,237278,10,1,0,,3.907199999317527,5000000,2372780,0,2627220,0,10
measured_local_hardhat,0.2,237278,11,1,0,,3.8744999999180436,5000000,2610058,0,2389942,0,11
measured_local_hardhat,0.2,237278,12,1,0,,3.4877999993041158,5000000,2847336,0,2152664,0,12
measured_local_hardhat,0.2,237278,13,1,0,,3.2203999999910593,5000000,3084614,0,1915386,0,13
measured_local_hardhat,0.2,237278,14,1,0,,3.0995999993756413,5000000,3321892,0,1678108,0,14
measured_local_hardhat,0.2,237278,15,1,0,,3.8433999996632338,5000000,3559170,0,1440830,0,15
measured_local_hardhat,0.2,237278,16,1,0,,4.8145000003278255,5000000,3796448,0,1203552,0,16
measured_local_hardhat,0.2,237278,17,1,0,,3.1546999998390675,5000000,4033726,0,966274,0,17
measured_local_hardhat,0.2,237278,18,1,0,,4.012699999846518,5000000,4271004,0,728996,0,18
measured_local_hardhat,0.2,237278,19,1,0,,3.3907000003382564,5000000,4508282,0,491718,0,19
measured_local_hardhat,0.2,237278,20,1,0,,3.742999999783933,5000000,4745560,0,254440,0,20
measured_local_hardhat,0.2,237278,21,1,0,,3.2462999997660518,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,22,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",2.3174000000581145,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,23,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",2.510100000537932,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,24,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.8747000005096197,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,25,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.7882000003010035,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,26,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.7289000004529953,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,27,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.9125999994575977,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,28,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.4194999998435378,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,29,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.3375999992713332,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,30,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.4151999996975064,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,31,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.4928999999538064,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.2,237278,32,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xa0964f467af8103e9427e1198f3177f45557c11e8b7fe611ccf9f59ca003317d"", 237278, 17162)'",1.9533999999985099,5000000,4982838,0,17162,0,21
measured_local_hardhat,0.25,267953,1,1,0,,3.7565000001341105,5000000,267953,0,4732047,0,1
measured_local_hardhat,0.25,267953,2,1,0,,4.764199999161065,5000000,535906,0,4464094,0,2
measured_local_hardhat,0.25,267953,3,1,0,,4.0309999994933605,5000000,803859,0,4196141,0,3
measured_local_hardhat,0.25,267953,4,1,0,,3.521300000138581,5000000,1071812,0,3928188,0,4
measured_local_hardhat,0.25,267953,5,1,0,,3.424499999731779,5000000,1339765,0,3660235,0,5
measured_local_hardhat,0.25,267953,6,1,0,,4.477699999697506,5000000,1607718,0,3392282,0,6
measured_local_hardhat,0.25,267953,7,1,0,,3.7559000002220273,5000000,1875671,0,3124329,0,7
measured_local_hardhat,0.25,267953,8,1,0,,3.82909999974072,5000000,2143624,0,2856376,0,8
measured_local_hardhat,0.25,267953,9,1,0,,3.671399999409914,5000000,2411577,0,2588423,0,9
measured_local_hardhat,0.25,267953,10,1,0,,6.8277000002563,5000000,2679530,0,2320470,0,10
measured_local_hardhat,0.25,267953,11,1,0,,4.590499999932945,5000000,2947483,0,2052517,0,11
measured_local_hardhat,0.25,267953,12,1,0,,4.378800000064075,5000000,3215436,0,1784564,0,12
measured_local_hardhat,0.25,267953,13,1,0,,5.042299999855459,5000000,3483389,0,1516611,0,13
measured_local_hardhat,0.25,267953,14,1,0,,4.400600000284612,5000000,3751342,0,1248658,0,14
measured_local_hardhat,0.25,267953,15,1,0,,4.589499999769032,5000000,4019295,0,980705,0,15
