measurement_type,mode,run_id,proof_index,request_id,prove_time_ms,verify_time_ms,proof_bundle_bytes,verified
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,29,0x1c99938bc5487936118648662555236c6f89ebe497b6dbb613a36d80eb659f03,280.952,23.152,1403,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,30,0x1d77e6c3df0b596761d30890addcfc6a4c76e66e65bf62495109dbbdf95ac6d0,302.371,13.977,1407,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,31,0x9dd33feaa108bc7963aed1a13b674e41b8aad4778b1cb75774c4610c25547227,269.999,14.127,1404,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,32,0x20c94e6d7a4aeb692d4a641ce6629a8de36762091f828c8c7134ca7aa96ac248,261.529,13.736,1407,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,33,0x5aadc961569157c14200cd05495f838dc723dd1758b04140207150f318ea1024,260.482,13.792,1403,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,34,0xce9d669f678fe50d82af965cb3f58f7edb7db7af00760567495c688b2a95df22,288.723,15.098,1403,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,35,0xc99fbbeffd4e9224ccc381452bd032934d4782fe915533966bb3637f2d31684f,283.266,13.023,1404,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,36,0x927e3c31d33808c6bdf45fab389a1fe821b14f1aee801a27728aa9a327e933a6,267.372,12.804,1398,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,37,0x1cb2afd991dc51d2f7e3d6601500f54a6de2130b2ce1b1c3aa480e9020387119,268.527,13.021,1407,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,38,0x406f90c014ba77a16c0a9dbbc75bab56aafa81b68be4c6bfe76e04e4f06cb3ba,266.673,12.418,1403,1
prepared_offchain_not_in_chain_latency,full,full_20260722T173930848Z,39,0x7bc6a2e146bf142d63c9d5597dbd7ee393b51403ac5e51691f893fc92238a34a,264.732,12.198,1404,1
